Match Index,0-60 mph,EPA mileage (combined),Torque,Price,Arbitrary Score,Make,Model,Year,Ranking,Engine Type
213,0.518025078,0.13559322,0.187022901,0.054866943,-0.661715369,Audi,A3 Cabriolet,2018,862,Gas
1186,0.437304075,0.050847458,0.259541985,0.049831923,-0.661851485,Toyota,4Runner,2016,863,Gas
950,0.423197492,0.008474576,0.281170483,0.030661796,-0.662447956,Chevrolet,Express Passenger,2016,864,Gas
1015,0.423197492,0.008474576,0.281170483,0.030661796,-0.662447956,GMC,Savana Passenger,2016,865,Gas
850,0.437304075,0.050847458,0.259541985,0.050058801,-0.662758996,Toyota,4Runner,2017,866,Gas
618,0.484326019,0.101694915,0.234096692,0.058405403,-0.663092213,BMW,X3,2017,867,Gas
571,0.469435737,0.13559322,0.234096692,0.091396339,-0.663580475,Alfa Romeo,4C,2017,868,Gas
646,0.507053292,0.110169492,0.148854962,0.032283243,-0.66387612,Chevrolet,Impala,2017,869,Gas
844,0.54153605,0.144067797,0.127226463,0.035072382,-0.663931777,Subaru,Legacy,2017,870,Gas
1071,0.46630094,0.084745763,0.223918575,0.052521153,-0.664530628,Land Rover,Discovery Sport,2016,871,Gas
1087,0.329937304,0.025423729,0.418575064,0.124890984,-0.664592295,Lexus,LX,2016,872,Gas
413,0.411442006,0.06779661,0.278625954,0.080989104,-0.664824642,Kia,K900,2018,873,Gas
1135,0.535266458,0.110169492,0.118320611,0.010944248,-0.665480824,Mitsubishi,Outlander Sport,2016,874,Gas
256,0.444357367,0.104195007,0.234096692,0.080989104,-0.665989434,BMW,3 Series Gran Turismo,2018,875,Gas
305,0.507053292,0.110169492,0.148854962,0.033105415,-0.667164806,Chevrolet,Impala,2018,876,Gas
763,0.46630094,0.084745763,0.223918575,0.053503596,-0.6684604,Land Rover,Discovery Sport,2017,877,Gas
179,0.55015674,0.144067797,0.090330789,0.02269818,-0.66857202,Subaru,Crosstrek,2019,878,Gas
972,0.505485893,0.06779661,0.236641221,0.024432025,-0.668668836,Dodge,Grand Caravan,2016,879,Gas
564,0.495297806,0.084745763,0.169211196,0.025466504,-0.669013144,Volkswagen,Tiguan Limited,2018,880,Gas
1176,0.581504702,0.161016949,0.113231552,0.025612206,-0.669175827,Subaru,Crosstrek,2016,881,Gas
411,0.554858934,0.13559322,0.073791349,0.01001176,-0.669193899,Kia,Forte,2018,882,Gas
38,0.457680251,0.110169492,0.234096692,0.080052452,-0.670965145,BMW,X4,2019,883,Gas
366,0.518808777,0.104195007,0.150127226,0.024103157,-0.671317933,Honda,Accord,2018,884,Gas
461,0.484326019,0.104195007,0.142493639,0.039453828,-0.671388691,Mazda,CX-5,2018,885,Gas
777,0.423197492,0.059322034,0.259541985,0.065648839,-0.671482254,Lincoln,MKT,2017,886,Gas
1061,0.570532915,0.13559322,0.132315522,0.017427956,-0.671682472,Kia,Optima,2016,887,Gas
782,0.313479624,0.104195007,0.290076336,0.162165537,-0.67296004,Lotus,Evora 400,2017,888,Gas
4,0.469435737,0.118644068,0.13740458,0.057052463,-0.673744541,Acura,TLX,2019,889,Gas
808,0.536833856,0.127118644,0.111959288,0.023947048,-0.676140684,Mitsubishi,Outlander,2017,890,Gas
1204,0.61677116,0.177966102,0.036895674,0.003484342,-0.67668571,Toyota,Yaris,2016,891,Gas
409,0.423197492,0.059322034,0.236641221,0.061309022,-0.677023749,Jeep,Wrangler Unlimited,2018,892,Gas
526,0.547021944,0.144067797,0.127226463,0.035603151,-0.677026639,Subaru,Legacy,2018,893,Gas
309,0.573667712,0.144067797,0.064885496,0.006879182,-0.677763267,Chevrolet,Sonic,2018,894,Gas
131,0.526645768,0.118644068,0.148587786,0.032272836,-0.677862891,Jeep,Renegade,2019,895,Gas
180,0.547021944,0.144067797,0.127226463,0.035915368,-0.678275508,Subaru,Legacy,2019,896,Gas
484,0.536833856,0.127118644,0.111959288,0.024883699,-0.679887288,Mitsubishi,Outlander,2018,897,Gas
522,0.556426332,0.144067797,0.090330789,0.022490035,-0.680278626,Subaru,Crosstrek,2018,898,Gas
422,0.44200627,0.06779661,0.226463104,0.056636173,-0.680704298,Kia,Sorento,2018,899,Gas
13,0.356583072,0.084745763,0.375318066,0.149468711,-0.681485632,Audi,A8 L,2019,900,Gas
830,0.357366771,0.104195007,0.32697201,0.151966447,-0.683042299,Porsche,Panamera,2017,901,Gas
57,0.429467085,0.084745763,0.24173028,0.080354262,-0.68438365,Cadillac,XTS,2019,902,Gas
1082,0.40830721,0.042372881,0.324427481,0.079833901,-0.684403897,Lexus,GX,2016,903,Gas
65,0.507053292,0.104195007,0.148854962,0.033365596,-0.686128983,Chevrolet,Impala,2019,904,Gas
1163,0.52507837,0.101694915,0.127226463,0.017309313,-0.687082785,Ram,Promaster City,2016,905,Gas
1215,0.598746082,0.144067797,0.139949109,0.01546307,-0.687191943,Volkswagen,Passat,2016,906,Gas
896,0.504702194,0.093220339,0.169211196,0.03186071,-0.687975014,Audi,Q3,2016,907,Gas
386,0.518025078,0.104195007,0.096692112,0.01531945,-0.688050823,Hyundai,Elantra GT,2018,908,Gas
538,0.55799373,0.144067797,0.082697201,0.021876008,-0.688590903,Toyota,C-HR,2018,909,Gas
7,0.570532915,0.152542373,0.20610687,0.052889569,-0.688890117,Audi,A4,2019,910,Gas
1054,0.513322884,0.084745763,0.115776081,0.008246693,-0.689619171,Jeep,Patriot,2016,911,Gas
